numberOfGuests,roomType,maxNights,minNights,city,state,latitude,longitude,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
2,Private room,365,1,Nairobi,NAIROBI,-1.293,36.775,19.0,1.0,1.0,1,0,1,1,1,0.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31688,36.84303,20.0,1.0,1.0,1,0,1,1,1,2.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,Kiambu,-1.2026,36.83704,20.0,1.0,1.0,0,0,0,0,0,8.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21856,36.88587,19.0,1.0,1.0,0,0,0,0,0,18.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31631,36.9034,18.0,1.0,1.0,1,0,1,1,1,0.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.29144,36.78915,20.0,1.0,2.0,1,0,0,0,1,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,Kiambu,-1.20631,36.83844,18.0,1.0,2.0,0,0,0,0,0,13.0,1,0,0,0,1.0,unknown
1,Entire unit,365,1,Nairobi,NAIROBI,-1.31763,36.90377,22.0,1.0,2.0,1,0,0,1,1,14.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,Kiambu,-1.20354,36.83911,22.0,1.0,1.0,1,1,0,1,1,0.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21534,36.79849,22.0,2.0,2.0,1,1,0,1,1,0.0,1,2,0,0,1.0,unknown
1,Entire unit,1125,1,Nairobi,Kiambu,-1.15017,36.81256,22.0,1.0,1.0,1,0,1,0,1,1.0,1,1,0,0,1.0,unknown
6,Private room,1125,1,Nairobi,NAIROBI,-1.28882,36.78613,22.0,4.0,3.0,1,0,0,0,1,10.0,1,3,1,0,2.0,shared
4,Private room,1125,1,Nairobi,NAIROBI,-1.28865,36.95088,22.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30547,36.82199,22.0,1.0,2.0,1,0,1,0,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Athi River,Kajiado,-1.48887,36.95792,22.0,1.0,2.0,1,0,1,1,1,7.0,1,0,0,0,1.0,unknown
1,Entire unit,365,1,Nairobi,NAIROBI,-1.21583,36.88823,22.0,0.0,1.0,1,0,0,0,1,0.0,0,0,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.21604,36.89393,22.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,365,1,Ruaka,Kiambu,-1.20443,36.77595,22.0,1.0,2.0,1,0,1,0,1,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31706,36.90194,18.0,1.0,1.0,0,0,0,0,0,3.0,1,1,1,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.29805,36.75997,22.0,1.0,2.0,1,0,0,1,1,1.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21457,36.88539,18.0,1.0,2.0,1,0,1,0,0,2.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.21655,36.8854,22.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,shared
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.2759,36.81832,22.0,1.0,2.0,1,0,0,0,0,9.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.27589,36.81865,22.0,1.0,1.0,1,0,0,0,1,34.0,1,1,0,0,1.0,unknown
2,Entire unit,365,2,Nairobi,NAIROBI,-1.2053,36.784,24.0,1.0,1.0,0,0,0,0,0,13.0,0,0,0,0,1.0,unknown
3,Private room,31,1,Nairobi,NAIROBI,-1.193,36.938,18.0,3.0,1.0,0,0,0,0,0,3.0,1,0,1,0,0.0,shared
2,Entire unit,1125,1,Athi River,Eastern,-1.48435,36.95161,19.0,1.0,1.0,1,0,0,0,1,63.0,1,1,0,0,1.0,unknown
