numberOfGuests,roomType,maxNights,city,state,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
2,Entire unit,1125,Kasuku,Nyandarua County,73.0,1.0,1.0,0,0,0,0,0,2.0,1,1,0,0,1.0,unknown
4,Private room,21,Mlolongo,Machakos,10.0,2.0,1.0,1,0,0,0,1,0.0,1,1,1,0,1.0,unknown
2,Other,365,Nairobi,Kajiado,160.0,1.0,1.0,1,1,1,1,1,4.0,1,1,0,0,1.0,unknown
8,Entire unit,1125,Naivasha,Nakuru,279.0,6.0,4.0,1,0,1,1,1,49.0,0,6,0,0,4.0,unknown
4,Entire unit,300,Nairobi,NAIROBI,60.0,3.0,2.0,1,0,0,0,1,109.0,1,3,0,0,2.0,unknown
2,Private room,31,Mtwapa,kilifi,40.0,1.0,1.0,1,0,0,0,1,1.0,1,0,0,0,1.0,unknown
6,Private room,1125,Timau,Meru,37.0,4.0,3.0,1,0,0,0,1,66.0,1,2,0,0,2.0,unknown
2,Entire unit,30,Nairobi,NAIROBI,100.0,1.0,1.0,0,0,0,0,0,0.0,1,1,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,43.0,1.0,2.0,1,0,0,0,0,112.0,1,1,1,0,1.0,unknown
2,Private room,1125,Nairobi,NAIROBI,52.0,3.0,1.0,1,0,1,0,1,41.0,1,1,2,0,1.0,shared
2,Entire unit,365,Mombasa,Mombasa,28.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,Kiambu,Kiambu,17.0,1.0,1.0,0,0,0,0,0,0.0,1,1,0,0,2.0,unknown
4,Entire unit,365,Nanyuki,Laikipia,40.0,2.0,2.0,1,0,1,0,1,12.0,1,2,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,35.0,2.0,2.0,1,0,0,0,0,0.0,1,1,0,0,1.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,42.0,2.0,2.0,1,1,1,1,1,0.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,Nakuru,Nakuru,45.0,3.0,2.0,1,0,0,0,1,31.0,1,3,0,0,2.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,58.0,1.0,1.0,1,0,0,0,1,0.0,1,1,5,0,1.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,38.0,2.0,2.0,1,0,0,0,1,20.0,1,0,0,0,2.0,unknown
2,Entire unit,365,Mombasa,Mombasa,25.0,1.0,2.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
4,Entire unit,1125,Timau,Meru,40.0,3.0,2.0,1,1,1,1,1,5.0,1,0,0,0,1.0,unknown
1,Private room,365,Luanda,Vihiga County,15.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,private
2,Entire unit,90,Nairobi,NAIROBI,80.0,1.0,1.0,1,1,0,0,0,4.0,1,1,0,0,1.0,unknown
2,Private room,1125,Mtwapa,Mombasa,27.0,1.0,1.0,1,0,0,0,0,1.0,1,1,0,0,1.0,private
4,Entire unit,365,Nakuru,Nakuru,25.0,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Other,1125,Nairobi,Kajiado,99.0,1.0,1.0,0,0,0,1,0,222.0,1,1,0,0,1.0,unknown
2,Entire unit,365,Nairobi,Kiambu,36.0,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,13.0,2.0,2.0,1,0,1,0,1,0.0,1,3,0,0,2.0,unknown
2,Private room,1125,Nairobi,NAIROBI,30.0,1.0,3.0,1,0,0,0,1,0.0,1,3,0,0,1.0,private
2,Private room,1125,Nairobi,NAIROBI,15.0,1.0,1.0,1,1,0,0,1,2.0,0,1,1,0,1.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,69.0,2.0,2.0,1,1,0,1,1,1.0,1,1,0,0,3.0,unknown
4,Entire unit,1125,Watamu,kilifi,87.0,2.0,2.0,0,0,0,1,0,13.0,1,2,0,0,2.0,unknown
2,Private room,1125,Nyeri,Nyeri,25.0,1.0,1.0,1,0,0,0,1,0.0,1,1,0,0,1.0,shared
2,Private room,1125,Kwale,Kwale,218.0,1.0,1.0,1,1,0,0,1,2.0,1,1,0,0,1.0,private
2,Entire unit,1125,Nairobi,NAIROBI,30.0,1.0,1.0,0,0,0,0,0,1.0,0,3,3,0,1.0,unknown
8,Entire unit,30,Malindi,kilifi,218.0,4.0,4.0,1,0,0,0,1,4.0,1,0,0,0,4.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,38.0,2.0,2.0,0,1,1,1,0,7.0,1,0,0,0,2.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,54.0,2.0,2.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Private room,1125,Mombasa,Mombasa,28.0,1.0,1.0,1,0,0,1,0,5.0,1,1,0,0,1.0,private
2,Entire unit,1125,Nairobi,NAIROBI,40.0,1.0,1.0,1,0,1,0,1,9.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,18.0,1.0,2.0,1,0,1,0,1,30.0,1,0,0,0,1.0,unknown
1,Entire unit,1125,Nairobi,NAIROBI,22.0,1.0,2.0,0,0,0,1,0,4.0,1,0,0,0,1.0,unknown
2,Entire unit,30,Mombasa,Mombasa,2500.0,1.0,1.0,1,0,0,1,1,0.0,1,1,1,0,1.0,unknown
2,Private room,1125,Watamu,kilifi,45.0,2.0,1.0,1,0,1,0,1,0.0,1,1,0,0,1.0,private
4,Entire unit,365,Nairobi,NAIROBI,50.0,2.0,2.0,0,0,0,0,0,1.0,1,0,0,0,3.0,unknown
12,Entire unit,30,Nairobi,NAIROBI,129.0,8.0,5.0,1,1,0,0,1,1.0,1,6,2,0,4.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,27.0,1.0,1.0,1,0,0,1,1,15.0,1,1,0,0,1.0,unknown
